Term,Definition
Additive Manufacturing,"The process of building 3D objects by adding layer-upon-layer of material, such as metal or plastic. Also known as 3D Printing, it's used for creating complex car parts and prototypes."
Aerodynamics,"The study of air movement over and around objects."
Aero Rake,"A large grid of sensors, also known as a kiel probe rake, used during testing to measure airflow pressure and velocity around the car."
Airbox,"The engine air intake, located above the driver's head. This part of the car also serves as the 'roll hoop' which protects the driver if the car overturns."
Anhedral Wing,"A front or rear wing where the tips are lower than the center section, designed to manage airflow in a specific way."
Anti-Stall,"A hardware/software system in the F1 car to prevent the engine from stalling, or turning off, due to a driver mistake."
Apex,"The innermost point of the racing line around a corner."
Appeal,"The action to attempt to overturn the race stewards' decision if the team feels that a driver was incorrectly penalized."
Aquaplaning,"A dangerous condition in wet weather where a layer of water builds up between the tyre and the track surface, causing a complete loss of grip and control."
Autoclave,"A high-pressure oven used to cure carbon fibre parts, ensuring they have the required strength and lightness for an F1 car."
Axle Track,"The distance between the centerline of two wheels on the same axle."
Backmarker,"Drivers located at the rear end of the field, often when being lapped by the race leader."
Ballast,"Weights placed around the car to improve balance and ensure that the car meets the minimum weight regulation."
Bargeboard,"An aerodynamic component mounted vertically between the front wheels and the sidepods, used to manage airflow along the side of the car."
Bite Point,"The point at which the clutch engages. Drivers perform a 'bite point find' procedure before the race to calibrate this for the perfect start."
Black and White Flag,"A warning flag, like a 'yellow card', shown to a driver for unsportsmanlike conduct."
Black Flag,"A flag that orders a driver to return to the pits immediately and retire from the race, typically for a serious rule infringement or disqualification."
Blistering,"The result of tyres overheating. The heat causes the rubber to soften and break away in chunks."
Blue Flag,"A flag shown to a lapped driver indicating that a faster car is approaching and they must let it pass."
Bodywork,"The external carbon fiber pieces of the car that are fitted prior to the race, such as the engine cover, cockpit cover, and nosecone."
Bollard,"A vertical tube located in the corners of some circuits to prevent corner cutting."
Bottoming,"When the bottom of the car comes in contact with the track surface."
"Box, Box","A radio command from the race engineer telling the driver to come into the pit lane for a pit stop on the current lap."
Brake Balance,"A switch in the cockpit that adjusts the braking power to the front or rear of the car."
CAD,"Short for 'Computer-aided design'. The computer software used to design the car and its components."
Camber,"The angle at which the tyre leans vertically."
Cathedral Wing,"A wing with a central section that is lower than the outer sections, creating a distinct 'V' or 'U' shape."
Causing a Collision,"A penalty given to a driver who is deemed wholly or predominantly to blame for an on-track accident."
CFD,"Short for 'Computational fluid dynamics'. A branch of physics used to simulate airflow and assist in aerodynamic calculations and tests."
Chassis,"The section of the car to which the engine and suspension systems are attached. Also known as the monocoque or tub."
Chassis Number,"A unique identifier for each individual chassis a team builds."
Chequered Flag,"The flag waved at the finish line to signal the end of the race or session."
Chicane,"A tight sequence of corners in alternate directions, designed to slow cars."
Clean Air,"Air that is not affected by an object before reaching the car and that provides the best aerodynamic conditions."
Clutch Paddle,"A paddle on the back of the steering wheel used by the driver to operate the clutch, primarily for starting the race."
Coanda Effect,"An aerodynamic principle where a jet of moving air tends to follow the curve of a nearby surface, previously exploited in exhaust design."
Cockpit,"The section of the chassis in which the driver sits."
Compound,"The chemical mixture of rubber used for tyres, determining its grip and durability characteristics."
Constructor,"A team that designs and builds its own chassis for competition. For example, Ferrari, Mercedes, and Red Bull Racing are constructors."
Contact Patch,"The section of tire that comes in contact with the track surface. Also referred to as the 'footprint'."
Cool-Down Lap,"A slow lap completed after the race or a qualifying run to cool the car's systems and save fuel."
Corner Cutting,"When a driver steers the car inside the apex to shorten the distance of the corner."
Crash Test,"A series of mandatory, FIA-regulated tests where a team's chassis is subjected to impacts to ensure it meets safety standards."
Cross-over Point,"The lap time at which it becomes faster to switch from one type of tyre to another, for example, from wet tyres to intermediates as a track dries."
Customer Team,"A team that buys its power unit and other listed parts from a manufacturer or another constructor. For example, Haas is a customer of Ferrari."
DAS,"Dual-axis steering. A system pioneered by Mercedes that allowed the driver to adjust the toe angle of the front wheels by pushing or pulling the steering wheel."
Debrief,"A meeting between the team drivers and engineers after an on-track session to discuss strategy and analyze data."
Degradation,"The process by which a tyre loses performance and/or grip due to wear."
Delta Time,"The time difference between two different laps or two different drivers."
Diffuser,"The rear section of the car's floor where air exits. It's a critical component for generating downforce."
Dirty Air,"The turbulent air coming off the back of a leading F1 car, which reduces the aerodynamic performance and grip of a following car."
Double Stack,"A pit stop strategy where a team pits both of its drivers on the same lap, one right after the other."
Downforce,"An aerodynamic force that pushes the car downward onto the track, increasing grip and cornering speed."
Drag,"An aerodynamic resistance that opposes the car's forward motion."
Drag-to-Downforce Ratio,"A measure of a car's aerodynamic efficiency. A high-efficiency car generates a lot of downforce for a small penalty in drag."
