Term,Definition
100% Sustainable Fuel,"A carbon-neutral synthetic fuel required for all 2026 Power Units, designed to be 'drop-in' compatible with road cars while maintaining high performance."
Active Aerodynamics,"A new 2026 system where both front and rear wings have moveable flaps that adjust automatically to balance high downforce in corners and low drag on straights."
Additive Manufacturing,"The process of building 3D objects by adding layer-upon-layer of material. Used for complex parts and prototyping."
Aerodynamics,"The study of air movement over and around objects."
Aero Rake,"A large grid of sensors used during testing to measure airflow pressure and velocity around the car."
Airbox,"The engine air intake above the driver's head, which also serves as the protective roll hoop."
Anhedral Wing,"A wing where the tips are lower than the center section, used to manage specific airflow patterns."
Anti-Stall,"A system that prevents the engine from turning off due to a driver mistake (e.g., during a spin)."
Apex,"The innermost point of the racing line around a corner."
Appeal,"The legal action taken by a team to attempt to overturn a steward's decision."
Aquaplaning,"A condition where water builds up between the tyre and track, causing a total loss of control."
Autoclave,"A high-pressure oven used to cure carbon fibre parts for maximum strength and lightness."
Axle Track,"The distance between the centerline of two wheels on the same axle."
Backmarker,"Drivers at the rear of the field, often being lapped by the race leader."
Ballast,"Weights placed in the car to meet minimum weight regulations and optimize balance."
Bargeboard,"Aerodynamic components used to manage airflow along the side of the car (significantly restricted in the ground-effect era)."
Bite Point,"The specific point where the clutch engages; critical for race starts."
Black and White Flag,"A warning shown to a driver for unsportsmanlike conduct."
Black Flag,"A flag ordering a driver to return to the pits immediately for disqualification."
Blistering,"Tyre damage caused by overheating where rubber breaks away in chunks."
Blue Flag,"Indicates a lapped driver must move over for a faster car."
Bodywork,"The external carbon fiber pieces including the engine cover, cockpit, and nosecone."
Bollard,"A vertical marker in corners to prevent corner cutting."
Bottoming,"When the car's floor hits the track surface."
"Box, Box","The radio command for a driver to enter the pits for a stop."
Brake Balance,"A cockpit control that adjusts the distribution of braking force between front and rear wheels."
CAD,"Computer-aided design software used to build the car and its parts."
Camber,"The vertical angle at which the tyre leans relative to the ground."
Cathedral Wing,"A wing with a lower central section creating a distinct 'V' or 'U' shape."
Causing a Collision,"A penalty for a driver deemed responsible for an on-track accident."
CFD,"Computational fluid dynamics; computer simulations of airflow used in car design."
Chassis,"The main structure of the car, also known as the monocoque or 'tub'."
Chassis Number,"A unique identifier for each individual chassis built by a team."
Chequered Flag,"The flag waved to signal the end of a session or race."
Chicane,"A tight sequence of alternating corners designed to slow the cars."
Clean Air,"Undisturbed air that provides optimal aerodynamic performance for a car."
Clipping,"When a 2026 car runs out of electrical energy at the end of a straight, causing a sudden loss of speed."
Clutch Paddle,"The steering wheel lever used to operate the clutch for the race start."
Coanda Effect,"An aerodynamic principle where air follows the curve of a surface."
Cockpit,"The section of the chassis where the driver sits."
Compound,"The specific rubber mixture used for tyres (Hard, Medium, Soft, Intermediate, Wet)."
Constructor,"A team that designs and builds its own chassis."
Contact Patch,"The portion of the tyre actually touching the track."
Cool-Down Lap,"The lap after a race or qualifying run used to cool systems and save fuel."
Corner Cutting,"Steering inside the apex to shorten the track, often leading to penalties."
Crash Test,"Mandatory FIA safety tests to ensure the chassis can withstand impacts."
Cross-over Point,"The lap time where it becomes faster to switch between different tyre types (e.g., Wets to Intermediates)."
Customer Team,"A team that purchases Power Units from a manufacturer (e.g., Haas using Ferrari engines)."
DAS,"Dual-axis steering; a now-banned system that adjusted front wheel toe-angle by pulling the steering wheel."
Debrief,"A post-session meeting between drivers and engineers to analyze data."
Degradation,"The loss of tyre performance over time due to heat and wear."
Delta Time,"The time difference between two laps or two drivers."
Diffuser,"The rear floor section where air exits, crucial for generating ground-effect downforce."
Dirty Air,"Turbulent air behind a car that reduces the grip of the following car."
Double Stack,"A pit strategy where both team cars pit on the same lap, one after the other."
Downforce,"Aerodynamic force pushing the car into the track to increase cornering speed."
Drag,"Aerodynamic resistance that slows the car's forward motion."
Drag-to-Downforce Ratio,"A measure of aerodynamic efficiency; high downforce with low drag is ideal."
Drive-Through Penalty,"A penalty requiring a driver to pass through the pit lane at the speed limit without stopping."
Driver-in-the-Loop Simulator (DIL),"An advanced factory simulator used for car development and driver training."
Drivers' Briefing,"A mandatory meeting with the FIA Race Director before a race weekend begins."
DRS,"Drag Reduction System; an opening rear wing flap used to aid overtaking (supplemented by Manual Override in 2026)."
ECU,"Electronic Control Unit; the computer controlling the car's electrical systems."
Efficiency (Aero),"The amount of downforce produced relative to the drag generated."
Endplate,"The vertical panels on the sides of the front and rear wings."
Energy Management,"The strategic deployment and recovery of electrical energy over a lap."
Energy Store,"The lithium-ion battery pack used to store harvested energy for the MGU-K."
ERS,"Energy Recovery System; in 2026, this consists of the MGU-K (the MGU-H was removed)."
Exhaust,"The system carrying waste gasses from the ICE."
F-Duct,"A banned system that allowed drivers to stall the rear wing to reduce drag."
Fastest Lap,"The quickest single lap of the race, which awards a bonus point if the driver finishes in the top 10."
FIA,"The Fédération Internationale de l'Automobile; the governing body of Formula 1."
Filming Day,"A limited-distance promotional run allowed outside of official testing."
Finite Element Analysis (FEA),"Computerized testing of part strength and stress points."
Flag System,"Colored flags used by marshals to signal track conditions."
Flat Spot,"Tyre damage from locking the brakes and skidding, causing vibration."
Flow-Vis Paint,"Fluorescent paint used during practice to visualize airflow over the car's body."
Formation Lap,"The warm-up lap before the race start where cars align on the grid."
Free Practice,"The Friday and Saturday sessions (FP1, FP2, FP3) used for car setup."
Fuel Flow Limit,"The regulated maximum rate of fuel consumption (adjusted for 2026's new power split)."
G-Force,"The force of acceleration/cornering measured in units of Earth's gravity."
Gearbox,"The 8-speed transmission system (plus reverse)."
Glory Run,"A low-fuel, soft-tyre practice lap used to set a headline-grabbing but unrepresentative time."
Graining,"Tyre wear where small bits of rubber peel off and stick to the tread, reducing grip."
Grand Chelem,"When a driver wins from pole, leads every lap, and sets the fastest lap."
Grand Prix,"The main race event held over a weekend."
Gravel Trap,"A safety area of gravel used to slow cars that leave the track."
Greasy Track,"A slippery track surface caused by light rain or oil."
Green Flag,"Signals that the track is clear and racing has resumed."
Grid,"The starting formation for the race."
Grid Penalty,"A punishment moving a driver back from their qualifying position."
Grip,"The traction available from the combination of tyres and downforce."
Grooved Tyre,"Tyres used for wet weather (Intermediates and Full Wets)."
Ground Effect,"Using the underside of the car to create low pressure and 'suck' the car to the track."
Halo,"The cockpit safety structure designed to protect the driver's head."
Handling,"The car's responsiveness to the driver's steering and throttle inputs."
HANS,"Head and Neck Support; a safety device connecting the helmet to the driver's shoulders."
Hard Tyre,"The most durable but slowest dry tyre compound (White sidewall)."
Hat Trick,"When a driver gets pole, the fastest lap, and the win in one weekend."
Headrest,"Safety foam surrounding the driver's head in the cockpit."
Heat Cycle,"The process of a tyre heating up and cooling down, which can change its grip properties."
Homologation,"The official certification of a car or part by the FIA."
Hybrid Era,"The period from 2014 onwards using turbo-hybrid engines (2026 is the 'Second Hybrid Era')."
In-Lap,"The lap spent returning to the pits."
Installation Lap,"A check-lap at the start of practice to ensure all systems are green."
Intermediate Tyres,"Grooved tyres for damp tracks (Green sidewall)."
Internal Combustion Engine (ICE),"The 1.6-litre V6 engine; in 2026, it produces ~400kW (50% of total power)."
Jump Start,"Moving from the grid before the lights go out."
KERS,"Kinetic Energy Recovery System; the 2009-2013 predecessor to ERS."
Kevlar,"Strong fiber used in the chassis for impact and penetration resistance."
Kilowatt (kW),"The unit of power used to measure the PU; 350kW is the 2026 limit for the MGU-K."
Laminating,"The process of layering carbon fiber in a mold."
Lap Record,"The fastest race lap ever recorded at a specific circuit."
Lapped,"Being overtaken by the leader after they have completed one more lap than you."
Launch,"The acceleration from 0km/h at the start of the race."
Left-Foot Braking,"The technique of using the left foot for the brake to save time transitioning from the throttle."
Lift and Coast,"Lifting off the throttle before a braking zone to save fuel or manage battery energy."
Lock-Up,"When a tyre stops rotating under heavy braking and skids."
Lollipop,"The sign historically used to signal the end of a pit stop (now replaced by lights)."
Manual Override Mode,"A 2026 overtaking aid where the trailing driver receives a boost of electrical power up to 355km/h."
Marbles,"Rubber scraps that accumulate off the racing line, making the surface slippery."
Marshal,"Trackside officials responsible for safety, flags, and car recovery."
Medium Tyre,"The balanced tyre compound for speed and durability (Yellow sidewall)."
MGU-K,"Motor Generator Unit - Kinetic; recovers energy from braking. Increased to 350kW for 2026."
Minimum Weight,"The regulated lowest weight of the car (targeted at ~768kg for 2026)."
Monocoque,"The carbon-fiber safety cell containing the driver."
Nomex,"Fire-resistant material used in all driver clothing."
Orange Ball Flag,"Signals a driver to pit because their car is mechanically dangerous."
Out-Brake,"Braking later than a rival to complete an overtake into a corner."
Out-Lap,"The first lap after leaving the pits."
Overcut,"Staying out longer on old tyres to leapfrog a rival who pitted earlier."
Oversteer,"When the rear of the car slides out during a corner."
Overtake,"Passing another car for position."
Paddles,"Steering wheel levers used for gear shifts and clutch operation."
Paddock,"The area behind the garages for team hospitality and logistics."
Parc Fermé,"The 'closed park' where cars are held after sessions to prevent unauthorized work."
Parc Fermé Conditions,"Rules banning major setup changes between qualifying and the race."
Pit Board,"The manual board held over the pit wall to give the driver info."
Pit Wall,"Where team leadership and strategists sit during the race."
Plank,"The wooden/composite strip under the car used to monitor ride height."
Podium,"Where the top three finishers receive their trophies."
Pole Position,"The #1 spot on the starting grid."
Porpoising,"High-speed bouncing caused by ground-effect aerodynamics."
Power Unit (PU),"The 2026 system comprising the ICE, Turbo, MGU-K, Energy Store, and Electronics (MGU-H removed)."
Powertrain,"The assembly of the PU and the gearbox/driveshaft."
Pull Rod Suspension,"Suspension where the rod 'pulls' the rocker; often used for aero packaging."
Push Lap,"A lap where the driver is at 100% effort, usually in qualifying."
Push Rod Suspension,"Suspension where the rod 'pushes' the rocker; common in F1 front ends."
Q1 / Q2 / Q3,"The three stages of knockout qualifying."
Race Control,"The FIA center where the Race Director monitors the event."
Racing Line,"The fastest path around a circuit."
Rake,"The angle of the car's floor from front to back."
Red Flag,"A session stoppage for safety or weather."
Retirement (DNF),"When a car exits the race early due to failure or crash."
Ride Height,"The gap between the car's floor and the track."
Roll Hoop,"The safety structure above the driver's head (strengthened for 2026)."
Rumblestrip,"Bumpy kerbing used to define track limits."
Safety Car,"The vehicle that leads the field at a slow pace during a hazard."
Scrubbed Tyres,"New tyres that have been 'broken in' for one lap to remove the surface sheen."
Sectors,"The three timed segments of a lap."
Shakedown,"A brief test of a new car to ensure all systems function."
Sidepod,"The bodywork housing the radiators (2026 features smaller, more efficient inlets)."
Slick Tyres,"Treadless tyres used for maximum dry-weather grip."
Slipstream,"The low-pressure 'tow' behind a car used to gain speed on straights."
Soft Tyre,"The grippiest but shortest-lived tyre compound (Red sidewall)."
Sprint Race,"A 100km Saturday race used at select events to award extra points."
Stint,"The duration a driver stays on track between pit stops."
Stop-Go Penalty,"A penalty requiring a driver to stop in their pit box for a set time (e.g., 10 seconds)."
Super License,"The mandatory qualification points needed to drive in F1."
Telemetry,"Live data transmitted from the car to the engineers."
Tifosi,"Passionate fans of the Ferrari team."
Turbocharger,"Uses exhaust gasses to compress air into the engine for more power."
Undercut,"Pitting earlier than a rival to gain time on fresh tyres."
Understeer,"When the front of the car loses grip and refuses to turn ('pushing')."
Unsafe Release,"When a team sends a car out of the pits into the path of another car."
Virtual Safety Car (VSC),"A system requiring drivers to slow to a set 'delta' speed without a physical car."
Wheelbase,"The distance between the front and rear axles (shortened for 2026)."
X-Mode,"The 2026 low-drag active aero state used on straights."
Z-Mode,"The 2026 high-downforce active aero state used in corners."
Zylon,"The high-strength fiber used for cockpit protection panels."
